51300041417,fed,193,106
51300059250,bac,87,100
51300080561,aae,176,282
51300084194,ade,214,48
51300172329,gda,79,179
51300223085,aaf,164,245
51300228389,ccc,232,230
51300270997,dge,221,20
51300272218,fgf,288,28
51300272286,fcc,112,40
51300323860,gdd,237,16
51300334747,ggf,289,253
51300379690,gdf,264,114
51300398343,bea,202,267
51300488242,fgd,146,186
51300529537,abf,49,205
51300555621,fbf,120,189
51300581148,gab,169,261
51300608701,cff,60,33
51300617930,cdb,28,213
51300630013,aed,240,241
51300639254,fdf,80,102
51300672891,dcf,126,148
51300702522,ebf,2,120
51300759360,ade,56,53
51300761985,ebd,227,93
51300773424,bac,83,91
51300775587,ccf,291,85
51300830325,cef,190,25
51300863258,abd,187,41
51300896381,ebb,271,142
51301004173,gbb,262,48
51301048800,eaf,110,211
51301076214,bgc,154,20
51301181888,ebd,123,77
51301184417,fbd,283,107
51301194314,aca,40,44
51301221596,fcc,143,35
51301230325,dcc,52,177
51301250851,dbb,16,241
51301275906,dbd,106,277
51301283183,ffd,176,151
51301302112,dbe,236,101
51301313506,ccb,111,105
51301345345,bba,85,18
51301345614,cgb,270,62
51301380981,ega,259,242
51301382356,dbc,29,169
51301436902,ccf,258,77
51301458190,bae,260,184
51301460581,acb,262,92
51301486781,dge,15,21
51301557087,deg,283,245
51301558574,gca,253,42
51301571495,fbg,291,239
51301572769,gda,133,193
51301575208,gfe,209,24
51301586988,fge,223,32
51301604515,bca,278,145
51301745866,cbc,37,100
51301751308,fcb,275,111
51301761647,fee,289,161
51301790839,cdg,167,49
51301793443,dgd,60,236
51301966380,egb,61,128
51301997005,baa,82,77
51302024788,fee,208,140
51302112831,efg,64,271
51302121606,bbb,167,117
51302163086,ada,259,246
51302172747,bga,52,6
51302218066,abe,270,244
51302260778,efa,212,151
51302270191,gdb,95,56
51302324888,eea,202,69
51302448740,ebb,88,139
51302449128,fdd,47,211
51302460161,bde,170,292
51302468402,ecf,135,70
51302471472,eba,178,51
51302510328,bee,138,145
51302536110,dbc,268,196
51302573662,eea,58,62
51302645770,dga,273,216
51302657830,aba,200,254
51302673641,faa,242,23
51302697913,ddd,92,42
51302703850,aef,153,258
51302720908,ebc,230,26
51302750308,fbe,222,261
51302775134,ceg,268,84
51302798125,dbf,291,159
51302798141,bbd,212,208
51302819575,gdf,188,96
51302854055,ccg,7,51
51302858369,fef,66,144
51302858824,adb,39,236
51302870995,bbe,23,49
51302901423,geb,195,260
51302905372,dfc,74,68
51302940985,dfc,61,60
51302957417,bad,103,99
51302962111,bgb,149,298
51302970458,bee,153,123
51302987729,fgc,258,234
51302998704,bef,154,14
51303043778,dgg,299,190
51303049793,ffe,126,290
51303056868,abc,272,176
51303061990,bca,153,134
51303067962,ddc,91,193
51303080568,acb,80,80
51303101003,cba,30,42
51303121374,eab,182,275
51303131677,eeg,189,168
51303138931,agf,280,289
51303141144,bdg,36,162
51303148902,cce,210,85
51303153374,fdg,147,170
51303170485,dcg,140,94
51303234635,ffd,100,160
51303235360,cbd,204,115
51303236279,abg,112,104
51303297289,dde,173,279
51303319850,gbd,159,154
51303328178,cac,274,106
51303335298,bgb,151,306
51303352911,dfd,87,116
51303424838,edc,93,15
51303448965,ced,185,116
51303465909,cgc,124,269
51303495502,cea,292,251
51303500948,daa,82,223
51303511930,aga,241,99
51303515829,bdf,3,165
51303524028,aab,117,203
51303542855,fbf,124,175
51303553209,agb,73,34
51303596140,edf,287,99
51303597757,dbd,13,265
51303604601,geb,70,267
51303606420,edd,29,275
51303619989,gab,224,268
51303676824,ffa,93,171
51303714146,bfg,217,276
51303728980,deg,16,230
51303731871,dba,62,262
51303746159,ggf,147,232
51303765933,aaa,196,12
51303801399,gfe,153,25
51303846437,add,48,183
51303847355,abd,50,38
51303915788,bcd,58,9
51303989671,gga,29,83
51304006204,agc,135,82
51304055544,efe,93,75
51304058461,dfb,14,89
51304076379,aaf,163,254
51304083445,dee,296,171
51304104890,ggg,183,219
51304176093,fge,115,31
51304176100,fff,88,231
51304181664,fae,208,30
51304181952,gcc,221,25
51304195729,efe,142,68
51304196952,fef,120,115
51304198943,ggc,261,139
51304209373,daa,125,243
51304243517,fgg,214,237
51304255582,bea,175,267
51304259823,fce,33,177
51304263599,afg,270,289
